siteID,index,cell_id,Longitude,Latitude
AB1,1,130382,-115.5310885,54.4444449292308
AB2,2,130382,-115.546699832,54.4369577656
AB3,3,131535,-115.311921907692,54.2283351323077
AB4,4,131535,-115.313447534783,54.2208944726087
ABBY,5,162617,-122.332437806723,45.7587530504202
AL1,6,92262,-148.274619217391,64.7660804986956
AL2,7,92262,-148.253993258333,64.7596194166667
BARR,8,68043,-156.579992727273,71.2660272727273
BART,9,168540,-71.2812068993289,44.053639590604
BC1,10,148801,-119.5784501625,49.6352806645833
BC2,11,149954,-119.50051083913,49.3239084543478
BC3,12,149953,-119.58517448,49.28553383
BC4,13,147648,-120.078533159091,49.9219529722727
BC5,14,146496,-119.963905358333,49.9803904995833
BC6,15,146499,-119.075741907692,49.9954043469231
BC7,16,146499,-119.054137704,50.0181330376
BLAN,17,186950,-78.0037483333333,39.0769743266667
BONA,18,91112,-147.523059807692,65.1673697307692
CA1,19,191424,-119.938177136,37.8425573708
CA2,20,191424,-119.912923078261,37.8127337526087
CA3,21,191426,-119.492623223077,37.8086658415385
CA4,22,191426,-119.44082082,37.8514813992
CA5,23,191426,-119.263259504545,37.9106987527273
CA6,24,191426,-119.265737075,37.9127973991667
CLBJ,25,208776,-97.5923859536082,33.3899067628866
CO1,26,183406,-105.54218148,40.036059658
CO2,27,183406,-105.57365744,40.045452962
CO3,28,183406,-105.52839785,40.02910542
CO4,29,183407,-105.302448692,40.0025064424
CO5,30,186861,-105.9595126,39.25975041625
CO6,31,186860,-106.100755882609,39.2097262604348
CO7,32,186861,-106.08505216,39.198710262
CPER,33,181105,-104.729696995516,40.8235871434978
CT1,34,176597,-73.3434114936364,41.8726563695455
CT2,35,177751,-72.9672723796,41.8271989784
DCFS,36,156931,-99.1123501071429,47.1730742678571
DEJU,37,95726,-145.747221945455,63.8705936181818
DELA,38,211111,-87.8109224920635,32.5349613968254
DSNY,39,228411,-81.4193551690141,28.0936883873239
FL1,40,221497,-82.2308246668,29.7397471148
FL2,41,221496,-82.4755531946154,29.71011839
GRSM,42,199605,-83.5190811261261,35.6753606936937
GUAN,43,265322,-66.8584930138889,17.9697699583333
HARV,44,174297,-72.2209751856061,42.4770104242424
HEAL,45,95714,-149.241828518519,63.8780390555556
JERC,46,216882,-84.4643197538462,31.194676
JORN,47,211050,-106.838146710145,32.5972751594203
KONA,48,186891,-96.616113948718,39.1558354102564
KONZ,49,186891,-96.5589671944444,39.0996819027778
LAJA,50,265321,-67.07648296,18.025205048
LENO,51,214566,-88.1755055363636,31.8332767090909
MI1,52,159268,-88.6170592177778,46.6183431366667
MI2,53,159269,-88.5298196095833,46.6456863054167
MI3,54,159269,-88.3398516745833,46.57420626
MI4,55,159269,-88.2952749395833,46.5734785441667
MI5,56,159276,-86.2130874986957,46.5613348826087
MI6,57,159276,-86.2209325985714,46.5374789071429
MLBS,58,193854,-80.5335962608696,37.3837621449275
MN1,59,156945,-94.7144563012,47.3750051276
MN2,60,159249,-94.84204187,46.7481710013043
MOAB,61,190306,-109.39567425,38.2364151333333
MS1,62,204194,-89.3888295584,34.4310771972
MS2,63,204194,-89.317614806,34.4607871068
MT1,64,168411,-111.446339415385,44.2088722553846
MT2,65,163805,-110.97351655625,45.491583270625
MT3,66,163805,-111.021490325,45.5218233979167
MT4,67,164960,-109.936605944444,45.0667912511111
MT5,68,164960,-109.868030105556,45.0103198861111
NC1,69,198467,-78.9701051915385,36.01252968
NC2,70,198467,-79.0897635395833,35.9881914554167
NIWO,71,183406,-105.572004133028,40.0485035917431
NOGP,72,159229,-100.915842612903,46.7823966209677
OAES,73,200707,-99.0609424411765,35.4123563382353
ON1,74,160437,-83.5400913984615,46.3259688261538
ON2,75,160436,-83.6106409479167,46.3539149725
ON3,76,159284,-83.847522464375,46.757703919375
ON4,77,158132,-83.6581334142105,46.8514004610526
ONAQ,78,183384,-112.467243282759,40.1820510275862
OR1,79,172987,-121.626516626087,42.7909948343478
OR2,80,172987,-121.618455655556,42.79273328
OR3,81,171836,-121.236024719048,43.3746228647619
OR4,82,170684,-121.267696433333,43.42413492
ORNL,83,198450,-84.2638058407407,35.9558163888889
OSBS,84,221498,-81.9848729605263,29.696793125
PR1,85,190263,-122.89011128,38.099122452
PR2,86,190263,-122.896437748,38.12041808
PR3,87,191415,-122.874804,38.0887231346154
RMNP,88,183406,-105.525398909091,40.2225025454545
SCBI,89,188102,-78.1443900206186,38.8929762216495
SERC,90,188107,-76.5521467591241,38.8845850656934
SJER,91,194881,-119.738618225434,37.1112284624277
SOAP,92,194882,-119.265579,37.034051826087
SRER,93,213341,-110.844070547619,31.8749805297619
STEI,94,162720,-89.9088442096774,45.7073205967742
STER,95,182262,-103.023711973333,40.4688038733333
TALL,96,209960,-87.4179606951219,32.9440648658537
TOOL,97,78434,-149.442927952381,68.6267309285714
TREE,98,163873,-89.575334225,45.4903788833333
TX1,99,220297,-97.2325940361538,30.10104867
TX2,100,218004,-93.8277191830769,30.70876478
TX3,101,218004,-93.82999902875,30.6322539075
TX4,102,216850,-94.270156316,31.0765298392
UKFS,103,186895,-95.1973229285714,39.0434645190476
UNDE,104,160417,-89.5323349026217,46.2396722209738
VA1,105,193854,-80.4914676295455,37.2621751890909
VA2,106,193854,-80.5486945411111,37.3908679011111
WOOD,107,158082,-99.2484817416667,47.1321548041667
WREF,108,162618,-121.981010392405,45.8310794810127
WY1,109,179948,-106.119944888,41.0671237776
WY2,110,178796,-106.241370591304,41.3655872047826
WY3,111,178799,-105.415089795652,41.2138867356522
WY4,112,179951,-105.361042,41.1538934696667
YELL,113,166110,-110.5256801,44.9498138
